epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3668.64,1.92153,1.12342,1.60224,0.87702,0.70899,0.7779,0.32768,2.14191,1.3569,1.94572,0.00622,0.00622,0.00622
86,3710.25,1.88424,1.10354,1.57743,0.79371,0.76023,0.78341,0.32855,2.13586,1.31047,1.95357,0.006175,0.006175,0.006175
87,3751.43,1.9014,1.10346,1.58827,0.79101,0.68616,0.74449,0.30116,2.16025,1.47915,2.0027,0.00613,0.00613,0.00613
88,3793.04,1.92415,1.13074,1.60254,0.86632,0.76608,0.77712,0.30222,2.17017,1.30728,2.00206,0.006085,0.006085,0.006085
89,3834.21,1.90429,1.12636,1.59668,0.88011,0.74269,0.80258,0.33247,2.14141,1.39069,1.94488,0.00604,0.00604,0.00604
90,3876.96,1.89518,1.09608,1.58443,0.85512,0.74269,0.79309,0.31932,2.13994,1.33203,1.96078,0.005995,0.005995,0.005995
91,3919.01,1.87205,1.14285,1.59184,0.82863,0.7076,0.7426,0.32593,2.11354,1.4393,1.95394,0.00595,0.00595,0.00595
92,3960.49,1.91723,1.11178,1.59352,0.84205,0.73684,0.78402,0.32431,2.15929,1.28056,1.95617,0.005905,0.005905,0.005905
93,4004.02,1.90396,1.10116,1.55609,0.85489,0.72515,0.77411,0.32195,2.14094,1.37018,1.96024,0.00586,0.00586,0.00586
94,4047.27,1.864,1.06342,1.54434,0.75349,0.7193,0.73107,0.30451,2.15446,1.44893,1.94509,0.005815,0.005815,0.005815
95,4090.15,1.8796,1.04426,1.55776,0.83201,0.75439,0.78128,0.32421,2.14257,1.35858,1.97867,0.00577,0.00577,0.00577
96,4132.38,1.87752,1.05672,1.54193,0.82453,0.74192,0.77634,0.332,2.166,1.29398,1.99266,0.005725,0.005725,0.005725
97,4173.83,1.87306,1.06935,1.56816,0.78869,0.73099,0.73134,0.30569,2.20869,1.4363,2.01784,0.00568,0.00568,0.00568
98,4215.89,1.86454,1.08192,1.55438,0.85079,0.80026,0.81675,0.34504,2.10653,1.23833,1.92847,0.005635,0.005635,0.005635
99,4258.31,1.86559,1.07621,1.56617,0.86329,0.63743,0.75228,0.2852,2.23123,1.42623,2.01663,0.00559,0.00559,0.00559
100,4300.85,1.88064,1.05696,1.56345,0.86633,0.78947,0.76902,0.31669,2.1169,1.31948,1.93574,0.005545,0.005545,0.005545
101,4343.32,1.88045,1.08241,1.5803,0.85434,0.78363,0.77415,0.31339,2.19033,1.25409,1.97248,0.0055,0.0055,0.0055
102,4385.81,1.83866,1.04048,1.57722,0.84032,0.77778,0.78788,0.32269,2.16238,1.29273,1.97038,0.005455,0.005455,0.005455
103,4428.29,1.84095,1.05265,1.56228,0.82623,0.75439,0.72787,0.31319,2.12607,1.31902,1.94504,0.00541,0.00541,0.00541
104,4471.2,1.86983,1.04087,1.55748,0.87102,0.74854,0.77536,0.3394,2.09799,1.30397,1.92034,0.005365,0.005365,0.005365
105,4514.65,1.87657,1.06118,1.58971,0.81794,0.78947,0.78237,0.32778,2.10964,1.28504,1.92767,0.00532,0.00532,0.00532
106,4557.84,1.88816,1.05363,1.59023,0.8263,0.73099,0.74431,0.31533,2.17191,1.35789,1.97826,0.005275,0.005275,0.005275
107,4600.14,1.87137,1.05853,1.55716,0.7875,0.73683,0.73585,0.3063,2.16831,1.46161,1.95453,0.00523,0.00523,0.00523
108,4642.53,1.89532,1.06224,1.59961,0.80918,0.75439,0.76652,0.30899,2.1704,1.41342,1.96486,0.005185,0.005185,0.005185
109,4684.74,1.86404,1.03789,1.55362,0.89302,0.77193,0.80339,0.32246,2.14424,1.28989,1.96298,0.00514,0.00514,0.00514
110,4728.03,1.84018,1.00921,1.54443,0.89673,0.76167,0.79523,0.32594,2.11319,1.23568,1.9293,0.005095,0.005095,0.005095
111,4771.44,1.84197,1.04435,1.58029,0.86797,0.76608,0.76576,0.33006,2.19352,1.32461,2.0177,0.00505,0.00505,0.00505
112,4813.77,1.82632,1.01495,1.54107,0.79377,0.76608,0.74914,0.30133,2.15498,1.35764,1.99584,0.005005,0.005005,0.005005
113,4855.67,1.83784,1.04643,1.55126,0.81873,0.77193,0.7647,0.31263,2.09374,1.33925,1.91285,0.00496,0.00496,0.00496
114,4896.87,1.86689,1.03283,1.57008,0.8805,0.76023,0.79364,0.3296,2.08893,1.24064,1.92172,0.004915,0.004915,0.004915
115,4937.35,1.86939,1.02729,1.55423,0.74867,0.71424,0.7162,0.28815,2.16197,1.45558,1.97869,0.00487,0.00487,0.00487
116,4979.6,1.83764,1.00724,1.55852,0.87134,0.78363,0.81925,0.34733,2.13627,1.26059,1.9471,0.004825,0.004825,0.004825
117,5021.91,1.83202,0.99502,1.5429,0.87222,0.75439,0.76759,0.3306,2.11667,1.32189,1.94628,0.00478,0.00478,0.00478
118,5064.08,1.81682,0.98907,1.51391,0.8494,0.76608,0.77646,0.32513,2.18452,1.25263,2.00822,0.004735,0.004735,0.004735
119,5105.39,1.82828,1.02093,1.5284,0.84494,0.77778,0.76873,0.32443,2.17985,1.29668,1.99925,0.00469,0.00469,0.00469
120,5146.69,1.84261,1.00714,1.55874,0.79241,0.80364,0.78405,0.33248,2.10558,1.23268,1.93432,0.004645,0.004645,0.004645
121,5188.39,1.82464,1.01254,1.56446,0.84598,0.80117,0.79319,0.32791,2.11882,1.30652,1.94931,0.0046,0.0046,0.0046
122,5229.89,1.81237,0.99177,1.55244,0.86915,0.7769,0.79816,0.33733,2.06805,1.21621,1.91463,0.004555,0.004555,0.004555
123,5272.3,1.81867,0.99582,1.54583,0.89631,0.76608,0.81409,0.32966,2.11397,1.18382,1.92897,0.00451,0.00451,0.00451
124,5313.73,1.80498,0.98506,1.53226,0.8819,0.77778,0.80601,0.33772,2.11158,1.26228,1.9303,0.004465,0.004465,0.004465
125,5354.66,1.82007,0.96871,1.53859,0.86982,0.78947,0.81043,0.33984,2.09851,1.17142,1.92358,0.00442,0.00442,0.00442
126,5395.58,1.84647,1.00014,1.55452,0.85689,0.7076,0.78024,0.33299,2.09962,1.3003,1.92555,0.004375,0.004375,0.004375
127,5438.77,1.81446,0.96581,1.53867,0.83196,0.78363,0.7768,0.32256,2.17554,1.2685,2.00707,0.00433,0.00433,0.00433
128,5480.87,1.79958,0.98857,1.52766,0.83143,0.74996,0.76269,0.31637,2.12411,1.27137,1.97308,0.004285,0.004285,0.004285
129,5523.14,1.8381,0.98843,1.55585,0.87866,0.76608,0.79645,0.34746,2.07072,1.23965,1.90726,0.00424,0.00424,0.00424
130,5565.7,1.79023,0.97096,1.52656,0.86897,0.77566,0.77979,0.32296,2.11815,1.266,1.94255,0.004195,0.004195,0.004195
131,5607.58,1.83401,0.98056,1.56407,0.8489,0.75566,0.76888,0.32767,2.13247,1.23161,1.93817,0.00415,0.00415,0.00415
132,5649.34,1.81159,0.99908,1.56298,0.8492,0.76608,0.77703,0.31663,2.14857,1.2743,1.95123,0.004105,0.004105,0.004105
133,5690.92,1.78517,0.94901,1.52626,0.81891,0.79336,0.80527,0.32996,2.10153,1.27012,1.93765,0.00406,0.00406,0.00406
134,5732.95,1.80854,0.95566,1.53857,0.85144,0.77085,0.76944,0.32022,2.14928,1.3296,1.96579,0.004015,0.004015,0.004015
135,5775.77,1.80588,0.9679,1.54014,0.84228,0.78074,0.78319,0.32053,2.15335,1.25897,1.97514,0.00397,0.00397,0.00397
136,5817.85,1.79146,0.94638,1.52751,0.87577,0.78363,0.80035,0.33315,2.10238,1.15154,1.93006,0.003925,0.003925,0.003925
137,5859.39,1.78896,0.94175,1.53177,0.87724,0.77193,0.80514,0.34681,2.07004,1.1913,1.90564,0.00388,0.00388,0.00388
138,5900.93,1.78804,0.94111,1.51923,0.85442,0.78943,0.79289,0.33426,2.13659,1.2241,1.96215,0.003835,0.003835,0.003835
139,5943.34,1.80285,0.95845,1.51874,0.88272,0.76608,0.78789,0.32653,2.08775,1.21514,1.92135,0.00379,0.00379,0.00379
140,5985.7,1.792,0.94959,1.53136,0.88212,0.79532,0.80136,0.33776,2.08739,1.18701,1.91881,0.003745,0.003745,0.003745
141,6027.32,1.78896,0.93387,1.54267,0.87684,0.76608,0.78749,0.33819,2.12045,1.3143,1.96254,0.0037,0.0037,0.0037
142,6068.7,1.78839,0.95845,1.53281,0.8298,0.76982,0.76186,0.33614,2.16761,1.2718,2.00256,0.003655,0.003655,0.003655
143,6109.82,1.79303,0.91906,1.51045,0.88491,0.76023,0.77434,0.32989,2.18167,1.24416,2.01698,0.00361,0.00361,0.00361
144,6151.43,1.77288,0.95469,1.49665,0.85793,0.81287,0.80193,0.3513,2.13708,1.18218,1.95974,0.003565,0.003565,0.003565
145,6193.43,1.78512,0.9433,1.53521,0.87072,0.74834,0.76542,0.32981,2.12763,1.22171,1.94261,0.00352,0.00352,0.00352
146,6235.61,1.77251,0.92452,1.49109,0.85388,0.78602,0.7811,0.35059,2.12817,1.23831,1.94659,0.003475,0.003475,0.003475
147,6278.02,1.7443,0.92973,1.50871,0.81884,0.78363,0.75938,0.32324,2.12689,1.27199,1.95219,0.00343,0.00343,0.00343
148,6318.9,1.75906,0.91204,1.5036,0.87493,0.78363,0.77889,0.33467,2.19808,1.28629,1.99514,0.003385,0.003385,0.003385
149,6360.5,1.78384,0.92286,1.53412,0.87611,0.78573,0.80707,0.34648,2.17208,1.23771,1.96999,0.00334,0.00334,0.00334
150,6402.83,1.80332,0.94209,1.52431,0.91652,0.77048,0.80094,0.34553,2.15389,1.23232,1.94814,0.003295,0.003295,0.003295
151,6446.39,1.75537,0.91278,1.49927,0.90019,0.73838,0.76636,0.32862,2.1608,1.3179,1.9418,0.00325,0.00325,0.00325
152,6488.49,1.74285,0.8938,1.49887,0.84221,0.78032,0.77723,0.32499,2.18568,1.33027,1.98208,0.003205,0.003205,0.003205
153,6532.31,1.75252,0.90613,1.52642,0.87357,0.76023,0.78589,0.33307,2.14065,1.23403,1.94305,0.00316,0.00316,0.00316
154,6574.69,1.76069,0.91299,1.51694,0.86657,0.75962,0.77914,0.32711,2.18777,1.21377,2.00662,0.003115,0.003115,0.003115
155,6617.61,1.73694,0.89742,1.49498,0.87596,0.78469,0.79525,0.33792,2.13463,1.12373,1.94611,0.00307,0.00307,0.00307
156,6660.43,1.72788,0.87142,1.49509,0.86206,0.78947,0.77986,0.3349,2.09153,1.23923,1.9155,0.003025,0.003025,0.003025
157,6703.06,1.79233,0.90472,1.52321,0.89203,0.78947,0.80326,0.34839,2.15561,1.21939,1.96344,0.00298,0.00298,0.00298
158,6745.69,1.74916,0.89733,1.5,0.85203,0.77452,0.79293,0.34143,2.14367,1.24811,1.96203,0.002935,0.002935,0.002935
159,6788.7,1.74529,0.90415,1.51509,0.87703,0.78363,0.80447,0.34152,2.11649,1.25218,1.92415,0.00289,0.00289,0.00289
160,6831.93,1.77259,0.90703,1.51597,0.89458,0.79402,0.80087,0.33458,2.14614,1.23151,1.96642,0.002845,0.002845,0.002845
161,6876.88,1.74225,0.8969,1.49554,0.89937,0.77193,0.7906,0.33523,2.12993,1.23201,1.95371,0.0028,0.0028,0.0028
162,6921.54,1.76132,0.88646,1.50489,0.89668,0.78947,0.81384,0.3462,2.09459,1.19309,1.91263,0.002755,0.002755,0.002755
163,6965.72,1.75495,0.88899,1.52014,0.87479,0.77778,0.80287,0.34144,2.14542,1.22799,1.95591,0.00271,0.00271,0.00271
164,7009.05,1.75129,0.88192,1.52082,0.88471,0.76287,0.78117,0.33256,2.16404,1.2367,1.97813,0.002665,0.002665,0.002665
165,7052.97,1.73657,0.92798,1.51696,0.88038,0.79532,0.78282,0.34649,2.14652,1.18351,1.95386,0.00262,0.00262,0.00262
166,7096.56,1.72512,0.86696,1.47462,0.90152,0.80702,0.83106,0.36735,2.10585,1.15093,1.91576,0.002575,0.002575,0.002575
167,7140.08,1.73838,0.88785,1.49338,0.87639,0.79532,0.80541,0.34309,2.18287,1.19457,2.01252,0.00253,0.00253,0.00253
168,7183.81,1.73285,0.87055,1.49985,0.87989,0.76608,0.8021,0.34508,2.18685,1.22289,2.03003,0.002485,0.002485,0.002485
169,7227.04,1.73975,0.88628,1.49639,0.85768,0.77537,0.7744,0.33654,2.14037,1.31061,1.96346,0.00244,0.00244,0.00244
170,7270.23,1.74849,0.87393,1.50304,0.8917,0.76608,0.80125,0.36338,2.10501,1.26808,1.93439,0.002395,0.002395,0.002395
171,7312.89,1.74349,0.88348,1.50108,0.9104,0.77243,0.80718,0.35959,2.10667,1.21144,1.92899,0.00235,0.00235,0.00235
172,7358.14,1.74905,0.89901,1.50595,0.90439,0.78947,0.81097,0.36065,2.15007,1.19683,1.95368,0.002305,0.002305,0.002305
173,7402.77,1.73555,0.87512,1.50131,0.8945,0.76023,0.78576,0.34675,2.16112,1.25712,1.97576,0.00226,0.00226,0.00226
174,7447.54,1.74426,0.88162,1.49109,0.88936,0.77778,0.79926,0.36174,2.1459,1.19692,1.96772,0.002215,0.002215,0.002215
175,7490.88,1.69644,0.85681,1.45626,0.88721,0.77778,0.78149,0.34945,2.16255,1.22104,1.97493,0.00217,0.00217,0.00217
176,7534.63,1.72304,0.88105,1.47991,0.90349,0.76608,0.79672,0.3501,2.17787,1.16917,1.98906,0.002125,0.002125,0.002125
177,7578.28,1.71661,0.85747,1.48399,0.90414,0.77778,0.79807,0.35688,2.13994,1.21401,1.9502,0.00208,0.00208,0.00208
178,7621.6,1.72715,0.87509,1.49174,0.91421,0.8101,0.83978,0.36515,2.17432,1.16697,1.97631,0.002035,0.002035,0.002035
179,7665.46,1.7252,0.87946,1.48363,0.89539,0.77193,0.79168,0.35504,2.17664,1.22219,1.98301,0.00199,0.00199,0.00199
180,7708.67,1.70782,0.84353,1.44963,0.90434,0.77403,0.81095,0.36251,2.16483,1.17273,1.97599,0.001945,0.001945,0.001945
181,7751.79,1.71443,0.83622,1.48741,0.90492,0.78363,0.79531,0.35049,2.13642,1.19613,1.94436,0.0019,0.0019,0.0019
182,7794.78,1.7158,0.85696,1.48478,0.91067,0.78363,0.80839,0.35592,2.18373,1.18759,1.98735,0.001855,0.001855,0.001855
183,7839.28,1.69588,0.84454,1.47111,0.90113,0.78363,0.79478,0.34883,2.1887,1.16186,1.98473,0.00181,0.00181,0.00181
184,7883.76,1.71412,0.84984,1.47951,0.90697,0.76023,0.79173,0.33981,2.18992,1.22084,1.99272,0.001765,0.001765,0.001765
185,7927.72,1.71738,0.84547,1.47785,0.89802,0.77241,0.79583,0.35081,2.20717,1.15404,2.00745,0.00172,0.00172,0.00172
186,7970.97,1.6831,0.84059,1.4648,0.93097,0.78866,0.81261,0.3427,2.1864,1.16141,1.99033,0.001675,0.001675,0.001675
187,8014.33,1.70881,0.85793,1.48028,0.92308,0.78363,0.81378,0.35086,2.13117,1.18006,1.95004,0.00163,0.00163,0.00163
188,8058.07,1.70346,0.82436,1.47945,0.91896,0.77778,0.80857,0.36093,2.1736,1.19257,1.99478,0.001585,0.001585,0.001585
189,8101.24,1.69724,0.83424,1.45528,0.91629,0.76608,0.81289,0.36286,2.18383,1.18331,1.9828,0.00154,0.00154,0.00154
190,8144.5,1.73201,0.85989,1.49208,0.91717,0.77709,0.80512,0.35035,2.18542,1.18493,1.97586,0.001495,0.001495,0.001495
