epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4503.68,1.69588,0.89885,1.46216,0.9107,0.80117,0.81158,0.35963,2.18677,1.13593,2.03191,0.006085,0.006085,0.006085
89,4550.9,1.68189,0.88686,1.47143,0.9089,0.78363,0.82105,0.35904,2.31124,1.14927,2.11422,0.00604,0.00604,0.00604
90,4597.7,1.70642,0.86076,1.48822,0.91843,0.76023,0.79644,0.33519,2.30485,1.20244,2.10093,0.005995,0.005995,0.005995
91,4645.76,1.67085,0.8932,1.47315,0.8947,0.74537,0.78731,0.3477,2.27095,1.1374,2.10511,0.00595,0.00595,0.00595
92,4692.06,1.69649,0.85821,1.46847,0.85889,0.74752,0.80736,0.32753,2.31487,1.40119,2.10776,0.005905,0.005905,0.005905
93,4738.77,1.71614,0.88019,1.4457,0.88321,0.77778,0.80241,0.35627,2.26532,1.12626,2.09269,0.00586,0.00586,0.00586
94,4785.82,1.6808,0.85655,1.44508,0.88103,0.77953,0.81246,0.34876,2.16793,1.14255,2.0051,0.005815,0.005815,0.005815
95,4833.32,1.67865,0.83436,1.4506,0.89277,0.78947,0.81471,0.34661,2.25714,1.17808,2.08319,0.00577,0.00577,0.00577
96,4880.89,1.67633,0.83867,1.43524,0.91288,0.74269,0.80002,0.33885,2.35977,1.20148,2.19035,0.005725,0.005725,0.005725
97,4929.24,1.66369,0.83674,1.4587,0.82635,0.74854,0.7793,0.31938,2.26184,1.33511,2.06969,0.00568,0.00568,0.00568
98,4977.09,1.66742,0.85149,1.44697,0.90657,0.79443,0.80864,0.34754,2.24133,1.16286,2.05517,0.005635,0.005635,0.005635
99,5025.16,1.67842,0.85758,1.46938,0.90691,0.76608,0.80891,0.34627,2.32773,1.20343,2.13845,0.00559,0.00559,0.00559
100,5073.3,1.65651,0.83115,1.43475,0.88512,0.76608,0.80658,0.33786,2.24235,1.176,2.06305,0.005545,0.005545,0.005545
101,5121.15,1.66721,0.84935,1.46019,0.92915,0.7669,0.83014,0.35917,2.27427,1.11083,2.09055,0.0055,0.0055,0.0055
102,5168.05,1.63714,0.8129,1.45858,0.95604,0.73099,0.79502,0.35459,2.35885,1.21114,2.17848,0.005455,0.005455,0.005455
103,5214.57,1.6599,0.82224,1.45985,0.93747,0.78902,0.81507,0.36109,2.26392,1.20885,2.0851,0.00541,0.00541,0.00541
104,5261.95,1.67573,0.83029,1.45476,0.90459,0.82456,0.83833,0.3517,2.31086,1.17276,2.10872,0.005365,0.005365,0.005365
105,5309.4,1.66134,0.83976,1.46721,0.87967,0.77193,0.80353,0.3516,2.25036,1.10674,2.08085,0.00532,0.00532,0.00532
106,5357.11,1.68126,0.82129,1.47795,0.91297,0.79752,0.82241,0.35328,2.23569,1.09219,2.02587,0.005275,0.005275,0.005275
107,5405.67,1.6559,0.84758,1.43849,0.93683,0.78363,0.81377,0.36361,2.19133,1.13625,2.02647,0.00523,0.00523,0.00523
108,5453.84,1.66747,0.82709,1.47652,0.91998,0.80677,0.82499,0.34916,2.24016,1.22358,2.02897,0.005185,0.005185,0.005185
109,5501.79,1.6665,0.81966,1.44658,0.91693,0.80702,0.84485,0.35729,2.26409,1.11592,2.09346,0.00514,0.00514,0.00514
110,5549.47,1.64101,0.79931,1.43379,0.89352,0.78513,0.81991,0.36505,2.18765,1.11444,2.00939,0.005095,0.005095,0.005095
111,5596.93,1.65429,0.80512,1.47763,0.94946,0.76902,0.83059,0.35203,2.31365,1.1657,2.11652,0.00505,0.00505,0.00505
112,5643.76,1.62779,0.8086,1.43041,0.87017,0.76608,0.76775,0.32355,2.3194,1.13521,2.14809,0.005005,0.005005,0.005005
113,5690.92,1.64057,0.83125,1.43751,0.92006,0.80766,0.82931,0.35184,2.26972,1.11992,2.06314,0.00496,0.00496,0.00496
114,5738.28,1.66306,0.83656,1.46113,0.93799,0.79616,0.84857,0.37406,2.19556,1.0839,2.02728,0.004915,0.004915,0.004915
115,5786.28,1.65021,0.81196,1.43565,0.9153,0.75836,0.80896,0.35304,2.32716,1.17908,2.13966,0.00487,0.00487,0.00487
116,5832.95,1.64696,0.81452,1.45711,0.92932,0.76608,0.80832,0.35298,2.23896,1.19882,2.05901,0.004825,0.004825,0.004825
117,5880.69,1.61621,0.79009,1.42192,0.85806,0.72515,0.79209,0.35466,2.23066,1.31069,2.05655,0.00478,0.00478,0.00478
118,5928.67,1.60058,0.77723,1.4011,0.96484,0.76023,0.83121,0.3659,2.29905,1.11553,2.11483,0.004735,0.004735,0.004735
119,5977.31,1.6306,0.80697,1.41926,0.96274,0.75547,0.8151,0.3649,2.27245,1.14883,2.11359,0.00469,0.00469,0.00469
120,6025.14,1.61892,0.79741,1.44332,0.93697,0.74269,0.82487,0.36384,2.23606,1.17796,2.07205,0.004645,0.004645,0.004645
121,6072.47,1.62493,0.81089,1.44741,0.91606,0.76023,0.80547,0.35467,2.26118,1.16669,2.0815,0.0046,0.0046,0.0046
122,6120.17,1.60077,0.7859,1.43924,0.88235,0.78946,0.80657,0.35962,2.32821,1.17402,2.13893,0.004555,0.004555,0.004555
123,6167.53,1.61782,0.79178,1.43363,0.85701,0.81871,0.81374,0.35045,2.27194,1.06839,2.10241,0.00451,0.00451,0.00451
124,6214.77,1.59442,0.77728,1.4159,0.89643,0.78363,0.79693,0.34677,2.22797,1.22974,2.06442,0.004465,0.004465,0.004465
125,6262.7,1.62811,0.76653,1.43429,0.91194,0.76023,0.82618,0.36917,2.23644,1.19153,2.08327,0.00442,0.00442,0.00442
126,6310.56,1.61553,0.79594,1.4271,0.85274,0.77889,0.77579,0.33499,2.25699,1.23335,2.0588,0.004375,0.004375,0.004375
127,6358.37,1.62048,0.77559,1.43136,0.91586,0.78947,0.77526,0.33067,2.31412,1.14588,2.12142,0.00433,0.00433,0.00433
128,6407.44,1.60482,0.77134,1.4302,0.8841,0.803,0.83032,0.34841,2.2764,1.11959,2.11574,0.004285,0.004285,0.004285
129,6455.65,1.62591,0.7945,1.43645,0.95114,0.78363,0.8163,0.36769,2.25494,1.09779,2.07731,0.00424,0.00424,0.00424
130,6503.35,1.59386,0.77411,1.41976,0.94926,0.79532,0.82065,0.37763,2.18366,1.09678,2.0137,0.004195,0.004195,0.004195
131,6551.77,1.60862,0.78435,1.43622,0.90765,0.80464,0.82055,0.36164,2.22692,1.07833,2.04608,0.00415,0.00415,0.00415
132,6599.11,1.59429,0.79538,1.4353,0.95729,0.78647,0.83514,0.36209,2.20763,1.0828,2.05701,0.004105,0.004105,0.004105
133,6646.05,1.57252,0.76191,1.41406,0.9362,0.77229,0.82408,0.35592,2.23399,1.1626,2.08447,0.00406,0.00406,0.00406
134,6693.39,1.58791,0.76118,1.42017,0.90955,0.77778,0.81499,0.37493,2.24966,1.13252,2.09172,0.004015,0.004015,0.004015
135,6741.55,1.59231,0.76274,1.41819,0.92033,0.78947,0.81575,0.35484,2.27907,1.16077,2.10737,0.00397,0.00397,0.00397
136,6789.76,1.62076,0.77144,1.43005,0.92236,0.76427,0.8127,0.34778,2.35223,1.123,2.19749,0.003925,0.003925,0.003925
137,6838.07,1.59184,0.7517,1.42624,0.95922,0.78363,0.83851,0.36614,2.27531,1.07556,2.10388,0.00388,0.00388,0.00388
138,6887.19,1.57711,0.74122,1.40239,0.9225,0.77778,0.82962,0.36472,2.29078,1.10446,2.12914,0.003835,0.003835,0.003835
139,6935.77,1.59475,0.75754,1.40398,0.89156,0.74854,0.81389,0.35752,2.26004,1.06226,2.10372,0.00379,0.00379,0.00379
140,6983.58,1.58204,0.75898,1.41374,0.94192,0.75874,0.82461,0.35535,2.30932,1.18498,2.13296,0.003745,0.003745,0.003745
141,7031.35,1.57216,0.73901,1.42341,0.88923,0.80117,0.8223,0.36122,2.23337,1.22663,2.03209,0.0037,0.0037,0.0037
142,7078.59,1.58322,0.77268,1.42471,0.92846,0.76608,0.81423,0.34039,2.29161,1.13784,2.10655,0.003655,0.003655,0.003655
143,7125.72,1.60168,0.73573,1.40818,0.9233,0.77435,0.8325,0.37298,2.27884,1.14886,2.09041,0.00361,0.00361,0.00361
144,7172.8,1.58754,0.75635,1.39124,0.964,0.78305,0.8465,0.38185,2.23819,1.09375,2.05941,0.003565,0.003565,0.003565
145,7221.35,1.57785,0.74591,1.42318,0.9119,0.78695,0.83448,0.37729,2.19033,1.12051,2.03099,0.00352,0.00352,0.00352
146,7269.73,1.55506,0.73907,1.37488,0.94676,0.76608,0.80539,0.36041,2.23164,1.08728,2.05634,0.003475,0.003475,0.003475
147,7317.87,1.53643,0.72762,1.39737,0.88036,0.8176,0.83801,0.36052,2.30896,1.19336,2.16713,0.00343,0.00343,0.00343
148,7366.83,1.54028,0.71647,1.38456,0.90704,0.79885,0.83298,0.37171,2.25511,1.1432,2.0914,0.003385,0.003385,0.003385
149,7415.65,1.57344,0.73655,1.42474,0.93005,0.78363,0.842,0.36209,2.23409,1.13261,2.02797,0.00334,0.00334,0.00334
150,7463.04,1.57033,0.75299,1.39861,0.90741,0.8024,0.82434,0.347,2.19996,1.2195,2.0211,0.003295,0.003295,0.003295
151,7510.89,1.56375,0.72889,1.39167,0.90615,0.81287,0.83671,0.36804,2.23197,1.14478,2.03903,0.00325,0.00325,0.00325
152,7557.87,1.54941,0.723,1.39209,0.89587,0.80504,0.83037,0.35838,2.21879,1.15847,2.03994,0.003205,0.003205,0.003205
153,7604.65,1.54321,0.72662,1.41068,0.96173,0.77193,0.83993,0.36221,2.25215,1.21435,2.0791,0.00316,0.00316,0.00316
154,7652.58,1.56778,0.73289,1.40819,0.94471,0.79938,0.85386,0.37007,2.23037,1.13399,2.03664,0.003115,0.003115,0.003115
155,7700.52,1.53265,0.72381,1.38526,0.96039,0.77193,0.82807,0.36158,2.2934,1.09382,2.13819,0.00307,0.00307,0.00307
156,7748.78,1.52269,0.70618,1.39277,0.92513,0.79532,0.83836,0.36067,2.27447,1.10501,2.08296,0.003025,0.003025,0.003025
157,7796.57,1.5545,0.73057,1.39488,0.92099,0.77778,0.83271,0.37753,2.20088,1.13813,2.05387,0.00298,0.00298,0.00298
158,7845.25,1.55006,0.72074,1.39129,0.9179,0.77193,0.8193,0.36082,2.21497,1.17682,2.05172,0.002935,0.002935,0.002935
159,7894.07,1.547,0.71974,1.40723,0.93447,0.75439,0.83532,0.37077,2.23616,1.13294,2.08279,0.00289,0.00289,0.00289
160,7941.69,1.57984,0.73138,1.41916,0.85788,0.83626,0.83793,0.37695,2.24953,1.12176,2.09083,0.002845,0.002845,0.002845
161,7989.61,1.53648,0.71141,1.38536,0.94221,0.78947,0.8244,0.36644,2.26043,1.12086,2.08685,0.0028,0.0028,0.0028
162,8037.01,1.53872,0.70477,1.38663,0.93514,0.79532,0.82942,0.38024,2.23368,1.1898,2.05367,0.002755,0.002755,0.002755
163,8084.14,1.53528,0.71907,1.39815,0.92153,0.75546,0.82131,0.3711,2.24807,1.20595,2.09779,0.00271,0.00271,0.00271
164,8131.23,1.52596,0.70243,1.39203,0.89395,0.80117,0.81817,0.36437,2.21135,1.13943,2.03893,0.002665,0.002665,0.002665
165,8179.26,1.53631,0.71963,1.40424,0.86442,0.82456,0.82646,0.38019,2.23373,1.20393,2.07952,0.00262,0.00262,0.00262
166,8227.47,1.50318,0.7016,1.3532,0.93169,0.79764,0.83983,0.38595,2.15672,1.05597,2.01347,0.002575,0.002575,0.002575
167,8275.57,1.52408,0.70657,1.37498,0.95083,0.78363,0.82951,0.37413,2.22969,1.14485,2.05183,0.00253,0.00253,0.00253
168,8323.95,1.53451,0.70992,1.39457,0.94533,0.80897,0.84173,0.37396,2.22457,1.1305,2.06137,0.002485,0.002485,0.002485
169,8372.17,1.52504,0.71337,1.3818,0.96317,0.78947,0.8477,0.39466,2.17645,1.12377,1.99695,0.00244,0.00244,0.00244
170,8420.1,1.54318,0.69513,1.38601,0.95356,0.80117,0.8498,0.39304,2.1626,1.08508,1.99301,0.002395,0.002395,0.002395
171,8467.55,1.53615,0.70254,1.38263,0.93796,0.79565,0.84641,0.3805,2.20764,1.09932,2.0158,0.00235,0.00235,0.00235
172,8514.59,1.51252,0.71169,1.37621,0.9469,0.78363,0.8424,0.37421,2.19479,1.10628,1.9979,0.002305,0.002305,0.002305
173,8561.29,1.49441,0.69721,1.37457,0.95366,0.78363,0.83702,0.36927,2.22896,1.18782,2.0424,0.00226,0.00226,0.00226
174,8607.87,1.5231,0.69651,1.37424,0.90864,0.8143,0.85004,0.38161,2.1713,1.13261,2.01384,0.002215,0.002215,0.002215
175,8655.8,1.5089,0.67675,1.35215,0.92468,0.78975,0.84085,0.37912,2.20619,1.14011,2.02843,0.00217,0.00217,0.00217
